SAYS|THAT|I,1
HIM|RUN|ON,2
TALE|TO|THE,1
YOU|THOUGHT|YOURSELF,1
OF|LIFE|DID,1
WARNING|COULD|NOT,1
FOREST|SURROUNDED|ALL,1
SUNSHINE|MADE|HIM,1
AT|US|IN,2
SEE|THEM|HE,1
NEVER|MIND|I’LL,1
MY|CHANCE|AND,1
HE|CARRIED|HIS,1
CALL|EM|TRIREME,1
BUT|THEY|DIDN’T,1
SPECTRAL|ILLUMINATION|OF,1
HIM|ONE|SMALL,1
AND|DOWN|STONY,1
THE|PAGES|HAD,1
WOULD|BE|IF,1
COURAGE|WITH|STRENGTH,1
EVER|SINCE|THE,1
OUT|THERE|AND,2
MASK|HEAVY|LIKE,1
COULDN’T|HAVE|FELT,1
ICTHYOSAURUS|HAD|BEEN,1
TO|GET|ME,1
GENEROSITY|THEN|ADDED,1
KNOW|WHAT|HE,2
FOR|SOMETIMES|WHAT,1
BEEN|TOLD|AN,1
HEARD|HIM|MY,1
OUR|EARS|THE,1
LIKE|THE|OUTRAGEOUS,1
INFLICTION|A|VISITATION,1
BITING|HIS|LIP,1
DEVILS|OF|HUNGER,1
WITHIN|THE|FOREST,1
WHEN|THERE|II,1
DIVISION|IT|WAS,1
SUCH|A|FOOL,1
WAS|THERE|AFTER,1
COULD|KEEP|THE,1
EVEN|DEFENSIVE|IN,1
WAS|SEEN|ON,1
STRAYED|IN|HERE,1
WHEN|I|MADE,2
OF|A|PRECIPICE,1
HIS|SOUL|ON,1
OF|TAKING|AN,1
YOUR|STRENGTH|COMES,1
ALL|THE|SWEEPINGS,1
SHORE|HE|MUST,1
WHILE|WE|TALKED,2
SO|ON|AND,4
OVER|HIM|TOO,1
THE|COMPANY|THEREFORE,1
DECIPHERED|IT|SAID,1
THE|REACHES|OPENED,1
OF|HIS|SUPERIORS,1
AND|WAS|LOOKING,1
HE|HAD|THE,3
THEY|DESERVED|I,1
AND|THERE|GREYISH,1
CHANGE|CAPTAINS|ADMIRALS,1
YOU|KNOW|HE,2
TO|BEAT|THAT,1
UNDER|HIS|LEFT,1
AS|OF|AN,1
TERROR|HAD|SCATTERED,1
BEFORE|I|LEFT,1
ASSURED|ME|THAT,1
WAY|WORTHY|OF,1
ENTHUSIASM|THIS|WAS,1
HE|SAID|WITHOUT,1
VISIT|TO|THE,1
FOUNDATIONS|OF|OUR,1
RAVINE|ALMOST|NO,1
TOO|MUCH|HE,1
COLLECTED|ALL|AT,1
WITHIN|TOWSON|OR,1
THINK|SO|I,1
ONLY|HIS|MEMORY,1
IT|SEEMS|TO,1
ON|STANCHIONS|THE,1
CUT|TO|THE,1
BELIEVE|THEY|THOUGHT,1
WERE|EXPRESSIVE|AND,1
SHUTTER|CAME|TO,1
BUT|THEY|ALL,1
URGED|ANXIOUSLY|IT,1
MYSTERY|ITS|GREATNESS,1
THERE|HE|BECAME,1
EH|WHAT|DO,1
TO|SHOOT|HER,1
KURTZ|SAYING|MY,1
AND|WHY|BECAUSE,1
DIDN’T|GO|ASHORE,1
WERE|TO|BE,1
MYSELF|THEY|CAN’T,1
A|WHOLE|CANDLE,1
BIT|I|DID,1
CRIED|OH|THEY,1
MEN|WAS|THE,1
RED|WITHOUT|RAYS,1
NOT|SURPRISED|BECAUSE,1
THEIR|FACES|SO,1
OR|FENCE|OF,1
REMARKABLE|PERSON|FURTHER,1
I|PURSUED|HE,1
INTO|THE|LITTLE,2
MARK|IT|WAS,1
THE|FOREIGN|SHORES,1
WITH|UNCONCERNED|OLD,1
HAVE|LIVED|THROUGH,1
OVER|THIS|SCENE,1
EVERY|RIFLE|THEY,1
THE|OPENING|HAD,1
VISION|I|SAW,1
IN|THE|VERY,2
AN|INTELLIGENT|MAN,1
DEVELOPED|A|VEIN,1
THEM|CONTINUOUSLY|WHILE,1
SOMETIMES|ARE|MADE,1
OPENING|PARAGRAPH|HOWEVER,1
WITH|SOMETHING|LIKE,1
ONLY|A|SAVAGE,1
IN|HIM|FACTITIOUS,1
TALKED|ABOUT|WEANING,1
APPEALING|SUGGESTIVE|AND,1
GLOW|FROM|THE,1
DARED|TO|TAKE,1
OLD|CHAP|YELL,1
UP|THE|REST,1
THE|TREES|STOOD,1
HAD|ROLLED|ON,1
COULD|THEN|YOU,1
HAD|CONVICTION|IT,1
A|FIRST|CLASS,3
HELM|HARD|A,1
WAS|THE|STATION’S,1
WEANING|THOSE|IGNORANT,1
CONVINCED|HAD|DRIVEN,1
CAN|EVER|KNOW,1
WOULD|BE|INTERESTING,1
HELP|SAYING|YOU,1
THE|GIGANTIC|TALE,1
THEN|THEY|VERY,1
HOLD|MY|BREATH,1
A|VAST|AMOUNT,1
BUILDINGS|STRINGS|OF,1
NOT|A|PRETTY,1
WAS|AN|ACTIVE,1
HE|MADE|ME,1
OVER|THE|GLITTER,1
EYES|LOOKED|OUT,1
THE|THUMP|EH,1
OF|THE|CENTRAL,1
GLOOMY|ALL|OF,1
FRESLEVEN’S|REMAINS|TILL,1
I|FANCY|MURMURED,1
CULMINATING|POINT|OF,1
COULD|BE|MADE,1
MUST|BEFORE|EVERYTHING,1
OF|RIVETS|THERE,1
LEAVE|HE|RIOTED,1
HAVE|TREASURED|EVERY,1
BEEN|TOO|DARK,1
BEEN|OUT|THREE,1
GENEROUS|MIND|OF,1
WERE|TOO|FAR,1
WORK|TO|GET,1
ROLLED|HE|KEPT,1
YOURSELF|NOT|FOR,1
BEEN|THERE|MORE,1
MR|KURTZ|HAS,1
DISTANCE|TO|DISTANCE,1
BLINDLY|WITH|ITSELF,1
PERSONAL|RISK|I,1
TAINTED|WITH|SELF,1
A|VAN|OVER,1
SENSATION|THAT|PERVADED,1
